"curveID","param","param_value","PARi","assim"
"Asat_18","Asat",18,1000,15.5153077165047
"Asat_18","Asat",18,1250,15.8176199590155
"Asat_18","Asat",18,1500,16.0181010300782
"Asat_18","Asat",18,1800,16.1843382729281
"Asat_20","Asat",20,0,-1
"Asat_20","Asat",20,10,-0.116339042452827
"Asat_20","Asat",20,20,0.734144712390207
"Asat_20","Asat",20,30,1.55084014376298
"Asat_20","Asat",20,40,2.33333333333333
"Asat_20","Asat",20,50,3.08142018007278
"Asat_20","Asat",20,60,3.79511274598529
"Asat_20","Asat",20,70,4.47463887877573
"Asat_20","Asat",20,80,5.12043513867886
"Asat_20","Asat",20,90,5.73313353432992
"Asat_20","Asat",20,100,6.31354298653609
"Asat_20","Asat",20,150,8.76893188301453
"Asat_20","Asat",20,200,10.5973423686795
"Asat_20","Asat",20,250,11.9591450363136
"Asat_20","Asat",20,300,12.9867584504365
"Asat_20","Asat",20,350,13.7770099918283
"Asat_20","Asat",20,400,14.3972282678438
"Asat_20","Asat",20,500,15.2981074416608
"Asat_20","Asat",20,600,15.9142613930082
"Asat_20","Asat",20,800,16.6939799568196
"Asat_20","Asat",20,1000,17.1630764293335
"Asat_20","Asat",20,1250,17.5371788700002
"Asat_20","Asat",20,1500,17.7853830277373
"Asat_20","Asat",20,1800,17.9912063215909
"Asat_22","Asat",22,0,-1
"Asat_22","Asat",22,10,-0.114842704696168
"Asat_22","Asat",22,20,0.740210023326541
"Asat_22","Asat",22,30,1.56463162896209
"Asat_22","Asat",22,40,2.35804164971631
"Asat_22","Asat",22,50,3.12021525458344
"Asat_22","Asat",22,60,3.85108900424273
"Asat_22","Asat",22,70,4.55076249301466
"Asat_22","Asat",22,80,5.21949577440863
"Asat_22","Asat",22,90,5.85770272391103
"Asat_22","Asat",22,100,6.46594072819988
"Asat_22","Asat",22,150,9.08529212117279
"Asat_22","Asat",22,200,11.0939569039013
"Asat_22","Asat",22,250,12.6275534249374
"Asat_22","Asat",22,300,13.8071712822143
"Asat_22","Asat",22,350,14.7272488603645
"Asat_22","Asat",22,400,15.4568355471726
"Asat_22","Asat",22,500,16.5271835514627
"Asat_22","Asat",22,600,17.2654832502518
"Asat_22","Asat",22,800,18.2054117470716
"Asat_22","Asat",22,1000,18.773078364287
"Asat_22","Asat",22,1250,19.2265229646344
"Asat_22","Asat",22,1500,19.52757142077
"Asat_22","Asat",22,1800,19.7772655313986
"Asat_24","Asat",24,0,-1
"Asat_24","Asat",24,10,-0.113597357981256
"Asat_24","Asat",24,20,0.745253734861588
"Asat_24","Asat",24,30,1.57609596445078
"Asat_24","Asat",24,40,2.37858312965142
"Asat_24","Asat",24,50,3.15248740273399
"Asat_24","Asat",24,60,3.89770421608734
"Asat_24","Asat",24,70,4.61425453414106
"Asat_24","Asat",24,80,5.30228439640779
"Asat_24","Asat",24,90,5.96206175469511
"Asat_24","Asat",24,100,6.59397076260562
"Asat_24","Asat",24,150,9.35592189159809
"Asat_24","Asat",24,200,11.5277949457558
"Asat_24","Asat",24,250,13.2232289120643
"Asat_24","Asat",24,300,14.5509740435763
"Asat_24","Asat",24,350,15.601011821649
"Asat_24","Asat",24,400,16.4423588078006
"Asat_24","Asat",24,500,17.6895632593499
"Asat_24","Asat",24,600,18.5577289299929
"Asat_24","Asat",24,800,19.6704121032347
"Asat_24","Asat",24,1000,20.3454006867188
"Asat_24","Asat",24,1250,20.8856298666344
"Asat_24","Asat",24,1500,21.2446146440003
"Asat_24","Asat",24,1800,21.5424596332847
"Asat_26","Asat",26,0,-1
"Asat_26","Asat",26,10,-0.112544755130567
"Asat_26","Asat",26,20,0.749513624199877
